1982. 7. 56.6 -1.1
1982. 8. 125.5 4.4
1982. 9. 89.4 7.1
1982. 10. 82.3 8.5
1982. 11. 29.6 11.1
1982. 12. 11.8 13.4
1983. 1. 43.6 15.7
1983. 2. 74.3 13.5
1983. 3. 81.0 12.1
1983. 4. 37.0 9.8
1983. 5. 53.0 7.2
1983. 6. 72.4 2.6
1983. 7. 143.7 3.6
1983. 8. 39.7 5.0
1983. 9. 45.2 6.4
1983. 10. 38.0 9.7
1983. 11. 45.2 11.9
1983. 12. 57.3 14.8
1984. 1. 65.6 13.9
1984. 2. 64.0 12.6
1984. 3. 14.3 12.0
1984. 4. 39.8 8.4
1984. 5. 95.4 3.8
1984. 6. 79.2 -0.4
1984. 7. 55.7 -0.2
1984. 8. 30.0 4.1
1984. 9. 47.7 7.6
1984. 10. 147.5 7.8
1984. 11. 45.0 11.2
1984. 12. 31.9 14.5
1985. 1. 31.7 14.3
1985. 2. 49.1 14.2
1985. 3. 34.2 11.5
1985. 4. 90.6 8.7
1985. 5. 155.5 5.7
1985. 6. 130.3 4.3
1985. 7. 50.9 4.2
1985. 8. 79.0 5.7
1985. 9. 147.5 6.7
1985. 10. 49.6 8.4
1985. 11. 60.9 12.4
1985. 12. 34.1 13.2
1986. 1. 75.6 13.2
1986. 2. 35.1 12.9
1986. 3. 92.1 10.9
1986. 4. 161.6 7.1
1986. 5. 129.4 5.5
1986. 6. 162.6 3.2
1986. 7. 169.5 3.5
1986. 8. 38.3 4.1
1986. 9. 81.8 5.5
1986. 10. 30.4 9.5
1986. 11. 58.5 9.9
1986. 12. 36.4 12.7
1987. 1. 59.3 14.5
1987. 2. 23.3 13.9
1987. 3. 55.0 13.1
1987. 4. 62.8 10.3
1987. 5. 84.5 4.7
1987. 6. 112.2 6.1
1987. 7. 151.1 2.5
1987. 8. 67.3 3.4
1987. 9. 44.8 6.4
1987. 10. 38.3 9.6
1987. 11. 49.6 12.7
1987. 12. 48.5 12.6
1988. 1. 39.1 13.4
1988. 2. 10.2 15.4
1988. 3. 108.2 11.8
1988. 4. 62.9 8.9
1988. 5. 37.4 4.9
1988. 6. 262.6 4.2
1988. 7. 22.6 1.7
1988. 8. 95.3 3.8
1988. 9. 16.0 7.3
1988. 10. 65.1 8.2
1988. 11. 36.1 11.4
1988. 12. 84.9 11.7
1989. 1. 52.2 13.4
1989. 2. 24.6 14.2
1989. 3. 34.6 11.7
1989. 4. 164.6 8.8
1989. 5. 28.0 7.0
1989. 6. 137.5 3.0
1989. 7. 72.2 3.0
1989. 8. 158.1 3.6
1989. 9. 13.3 6.6
1989. 10. 17.1 10.1
1989. 11. 19.9 11.8
1989. 12. 184.4 11.4
1990. 1. 46.1 12.7
1990. 2. 23.1 15.4
1990. 3. 70.4 11.8
1990. 4. 67.3 7.2
1990. 5. 244.2 5.9
1990. 6. 182.5 5.1
1990. 7. 101.3 4.6
1990. 8. 150.6 4.6
1990. 9. 97.7 6.7
1990. 10. 64.0 8.8
1990. 11. 51.5 9.7
1990. 12. 38.3 12.0
1991. 1. 43.3 13.5
1991. 2. 60.6 13.6
1991. 3. 60.9 11.1
1991. 4. 86.4 8.6
1991. 5. 142.6 4.8
1991. 6. 58.7 3.2
1991. 7. 142.1 1.0
1991. 8. 106.8 3.1
1991. 9. 125.3 6.3
1991. 10. 52.3 8.3
1991. 11. 58.9 10.9
1991. 12. 83.2 10.3
1992. 1. 14.7 15.6
1992. 2. 29.8 13.1
1992. 3. 57.1 12.9
1992. 4. 64.7 9.0
1992. 5. 87.1 4.3
1992. 6. 113.1 1.8
1992. 7. 33.2 1.3
1992. 8. 60.1 5.7
1992. 9. 76.9 6.5
1992. 10. 167.2 7.4
1992. 11. 42.4 12.3
1992. 12. 81.9 11.5
1993. 1. 43.5 12.9
1993. 2. 27.4 14.6
1993. 3. 126.6 12.5
1993. 4. 84.7 8.1
1993. 5. 125.2 4.6
1993. 6. 151.5 1.7
1993. 7. 76.6 3.2
1993. 8. 113.6 6.3
1993. 9. 27.8 7.8
1993. 10. 24.6 10.4
1993. 11. 45.4 10.5
1993. 12. 59.1 12.3
1994. 1. 98.7 15.0
1994. 2. 66.2 13.5
1994. 3. 16.9 13.3
1994. 4. 105.7 8.5
1994. 5. 235.9 5.7
1994. 6. 164.1 4.5
1994. 7. 136.1 1.8
1994. 8. 118.7 4.6
1994. 9. 125.0 6.0
1994. 10. 24.4 8.8
1994. 11. 61.7 10.8
1994. 12. 38.0 12.8
1995. 1. 29.8 13.3
1995. 2. 54.7 13.7
1995. 3. 115.5 11.3
1995. 4. 92.2 9.5
1995. 5. 156.8 6.1
1995. 6. 135.9 1.7
1995. 7. 209.5 1.1
1995. 8. 67.2 3.3
1995. 9. 34.8 6.6
1995. 10. 52.6 9.2
1995. 11. 23.5 11.3
1995. 12. 16.8 15.4
1996. 1. 12.9 12.9
1996. 2. 86.4 12.4
1996. 3. 108.5 11.8
1996. 4. 177.8 8.3
1996. 5. 123.5 7.9
1996. 6. 77.1 2.2
1996. 7. 84.4 4.0
1996. 8. 305.3 4.4
1996. 9. 40.4 8.3
1996. 10. 55.3 9.4
1996. 11. 104.1 10.2
1996. 12. 58.7 12.5
1997. 1. 118.0 12.8
1997. 2. 32.0 11.9
1997. 3. 41.2 12.8
1997. 4. 180.2 9.6
1997. 5. 33.1 6.4
1997. 6. 123.2 3.4
1997. 7. 201.2 3.0
1997. 8. 217.3 4.8
1997. 9. 36.2 6.7
1997. 10. 110.5 8.1
1997. 11. 42.1 11.0
1997. 12. 27.2 12.5
1998. 1. 91.9 13.2
1998. 2. 2.0 16.4
1998. 3. 72.4 12.4
1998. 4. 24.8 10.3
1998. 5. 97.9 8.5
1998. 6. 56.4 4.9
1998. 7. 300.9 6.7
1998. 8. 75.7 6.6
1998. 9. 14.9 6.3
1998. 10. 73.7 9.7
1998. 11. 47.9 11.3
1998. 12. 100.0 13.3
1999. 1. 41.6 15.5
1999. 2. 67.7 14.1
1999. 3. 50.8 11.4
1999. 4. 45.1 8.7
1999. 5. 63.8 6.2
1999. 6. 183.2 1.5
1999. 7. 126.7 2.6
1999. 8. 88.3 5.6
1999. 9. 70.1 6.9
1999. 10. 39.7 10.5
1999. 11. 37.4 12.2
1999. 12. 42.3 12.7
2000. 1. 32.2 14.2
2000. 2. 43.8 13.0
2000. 3. 59.6 11.5
2000. 4. 106.5 9.3
2000. 5. 44.7 5.9
2000. 6. 142.3 1.6
2000. 7. 96.0 1.7
2000. 8. 41.5 4.4
2000. 9. 106.7 4.5
2000. 10. 66.9 9.9
2000. 11. 47.3 10.0
2000. 12. 136.7 11.3
2001. 1. 163.0 12.5
2001. 2. 93.3 13.0
2001. 3. 163.2 10.1
2001. 4. 32.9 9.1
2001. 5. 136.4 4.6
2001. 6. 128.4 3.5
2001. 7. 120.0 -0.8
2001. 8. 131.1 4.3
2001. 9. 49.9 7.8
2001. 10. 15.1 10.5
2001. 11. 49.5 10.0
2001. 12. 44.3 14.0
2002. 1. 54.0 14.1
2002. 2. 75.4 15.4
2002. 3. 126.7 9.6
2002. 4. 88.5 9.2
2002. 5. 122.8 4.8
2002. 6. 83.5 -0.8
2002. 7. 98.4 4.2
2002. 8. 144.4 4.5
2002. 9. 128.9 6.9
2002. 10. 134.9 7.9
2002. 11. 108.9 9.7
2002. 12. 80.9 12.9
2003. 1. 107.5 13.2
2003. 2. 22.1 13.3
2003. 3. 31.8 13.0
